"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"2313957";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313957";"REQ";"15";"2022";"311";"Requerimento de Retirada de Proposição de Iniciativa Individual";"Requer a retirada de tramitação do Projeto de Lei nº 2.746/2021, que altera os artigos 5º, 8º e 22 da Lei nº 11.340, de 7 de agosto de 2006, para aperfeiçoar os mecanismos de combate à violência doméstica e familiar contra a mulher, em razão da condição do sexo feminino.";"";"";"2022-02-02T19:30:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2293366";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131295";"";"2022-02-03T00:00:00";"12";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"";"Publicação de Despacho";"605";"Arquivada";"923";"Publicação inicial no DCD do dia 04/02/2022";""
"2313958";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313958";"DOC";"9";"2022";"859";"Indicação de Líder de Partido ou Bloco Parlamentar";"Indicação Líder PSC 2022";"";"";"2022-02-02T19:36:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131298";"";"2022-02-02T20:01:44";"4";"";"100648";"COMPI(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100648";"";"Relatório de Conferência de Assinaturas";"1042";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Relatório de Conferência de Assinaturas Eletrônicas.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131323"
"2313959";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313959";"PL";"110";"2022";"139";"Projeto de Lei";"Altera a Lei 9.986, de 18 de julho de 2000, para estabelecer vedação à indicação para o Conselho Diretor ou a Diretoria Colegiada das Agências Reguladores nas hipóteses em que especifica.";"";"";"2022-02-02T19:42:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131300";"";"2022-02-02T19:42:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 110/2022, pelo Deputado Rubens Pereira Júnior  (PCdoB/MA), que ""Altera a Lei 9.986, de 18 de julho de 2000, para estabelecer vedação à indicação para o Conselho Diretor ou a Diretoria Colegiada das Agências Reguladores nas hipóteses em que especifica.  "".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131301"
"2313960";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313960";"PL";"111";"2022";"139";"Projeto de Lei";"Acrescenta parágrafos 2º-A, 2º-B e 2º-C ao artigo 25 da Lei 9.605, de 12 de fevereiro de 1998, para estabelecer proteção aos animais apreendidos em situação de maus-tratos.";"";"";"2022-02-02T19:42:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131302";"";"2022-02-02T19:42:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 111/2022, pelo Deputado Rubens Pereira Júnior  (PCdoB/MA), que ""Acrescenta parágrafos 2º-A, 2º-B e 2º-C ao artigo 25 da Lei 9.605, de 12 de fevereiro de 1998, para estabelecer proteção aos animais apreendidos em situação de maus-tratos. "".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131303"
"2313961";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313961";"PL";"112";"2022";"139";"Projeto de Lei";"Altera os artigos 348 e 349 do Decreto-Lei 2.848 de 7 de dezembro de 1940 – Código Penal, para aumentar a pena dos crimes de favorecimento pessoal e real.";"";"";"2022-02-02T19:42:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131304";"";"2022-02-02T19:42:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 112/2022, pelo Deputado Rubens Pereira Júnior  (PCdoB/MA), que ""Altera os artigos 348 e 349 do Decreto-Lei 2.848 de 7 de dezembro de 1940 – Código Penal, para aumentar a pena dos crimes de favorecimento pessoal e real
"".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131305"
"2313962";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313962";"PL";"113";"2022";"139";"Projeto de Lei";"Altera o artigo 268 do Decreto-Lei 2.848 de 7 de dezembro de 1940 – Código Penal, para aumentar a pena do delito de infração de medida sanitária.";"";"";"2022-02-02T19:42:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131306";"";"2022-02-02T19:42:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 113/2022, pelo Deputado Rubens Pereira Júnior  (PCdoB/MA), que ""Altera o artigo 268 do Decreto-Lei 2.848 de 7 de dezembro de 1940 – Código Penal, para aumentar a pena do delito de infração de medida sanitária. "".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131307"
"2313963";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313963";"PL";"114";"2022";"139";"Projeto de Lei";"Acrescenta §5º ao artigo 297 do Decreto-Lei 2.848 de 7 de dezembro de 1940 – Código Penal, para dispor sobre falsificação ou alteração do cartão vacinal ou comprovante de vacinação.";"";"";"2022-02-02T19:42:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131308";"";"2022-02-02T19:42:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 114/2022, pelo Deputado Rubens Pereira Júnior  (PCdoB/MA), que ""Acrescenta §5º ao artigo 297 do Decreto-Lei 2.848 de 7 de dezembro de 1940 – Código Penal, para dispor sobre falsificação ou alteração do cartão vacinal ou comprovante de vacinação. "".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131309"
"2313965";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313965";"PL";"115";"2022";"139";"Projeto de Lei";"Altera o artigo 112 da Lei 7.210, de 11 de julho de 1984 – Lei de Execuções Penais, para estabelecer percentual de cumprimento da pena exigível para a progressão de regime no caso de reincidência não específica em crime hediondo.";"";"";"2022-02-02T19:43:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131311";"";"2022-02-02T19:43:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 115/2022, pelo Deputado Rubens Pereira Júnior  (PCdoB/MA), que ""Altera o artigo 112 da Lei 7.210, de 11 de julho de 1984 – Lei de Execuções Penais, para estabelecer percentual de cumprimento da pena exigível para a progressão de regime no caso de reincidência não específica em crime hediondo. "".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131312"
"2313966";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313966";"PL";"116";"2022";"139";"Projeto de Lei";"Altera dispositivos da Lei nº 12.608 de 10 de abril
de 2012, e da Lei nº 12.340, de 1º de dezembro de
2010, para garantir a segurança, proteção e
monitoramento em áreas de interesse geológico, e
áreas naturais voltadas ao turismo e lazer.";"";"";"2022-02-02T19:43:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131315";"";"2022-02-02T19:43:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 116/2022, pelo Deputado Leonardo Monteiro  (PT/MG), que ""Altera dispositivos da Lei nº 12.608 de 10 de abril
de 2012, e da Lei nº 12.340, de 1º de dezembro de
2010, para garantir a segurança, proteção e
monitoramento em áreas de interesse geológico, e
áreas naturais voltadas ao turismo e lazer"".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131316"
"2313967";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313967";"PL";"117";"2022";"139";"Projeto de Lei";"Obriga as empresas prestadoras de serviços de internet móvel e banda larga na modalidade pós-paga a apresentarem, na fatura mensal, gráficos sobre o registro médio diário de entrega da velocidade de recebimento e envio de dados pela rede mundial de computadores.";"";"";"2022-02-02T19:43:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131317";"";"2022-02-02T19:43:00";"1";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"";"Apresentação de Proposição";"100";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Apresentação do Projeto de Lei n. 117/2022, pelo Deputado Rubens Pereira Júnior  (PCdoB/MA), que ""Obriga as empresas prestadoras de serviços de internet móvel e banda larga na modalidade pós-paga a apresentarem, na fatura mensal, gráficos sobre o registro médio diário de entrega da velocidade de recebimento e envio de dados pela rede mundial de computadores.  
"".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131318"
