"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"MINORIA";"";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PTdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36847";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PsbPCdoBPmnPrb";"";"Sim"
"441673-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/441673-111";"PLEN";"Aprovada a Proposta de Emenda à Constituição nº 391, de 2009, em segundo turno. Sim: 315; abstenção: 1; total: 316.";"PmdbPtc";"";"Sim"
