"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"Minoria";"";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"GOV.";"";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"Podemos";"";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"Solidaried";"";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2165194-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2165194-103";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 391, de 2017. Sim: 343; não: 6; total: 349.";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"Sim"
