"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PpAvante";"";"Obstrução"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"Solidaried";"";"Não"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Liberado"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"Liberado"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"Não"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Liberado"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Não"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Não"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Obstrução"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PtbPros";"";"Não"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Obstrução"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"Obstrução"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2166464-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2166464-52";"PLEN";"Rejeitado o Requerimento. Sim: 85; não: 172; abstenção: 11; total: 268.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Não"
