"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PvPps";"";"Sim"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PrPtdobPrpPhsPtcPslPrtb";"";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"GOV.";"";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"Minoria";"";"Sim"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Não"
"555727-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-80";"PLEN";"Rejeitada a Emenda. Sim: 91; não: 172; não: 263.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Sim"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"Minoria";"";"Sim"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PrPtdobPrpPhsPtcPslPrtb";"";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PvPps";"";"Sim"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"GOV.";"";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Não"
"555727-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-77";"PLEN";"Rejeitada a Emenda. Sim: 70; não: 191; total: 261.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Não"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PvPps";"";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Obstrução"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"GOV.";"";"Não"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PrPtdobPrpPhsPtcPslPrtb";"";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"Minoria";"";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Sim"
"555727-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/555727-52";"PLEN";"Aprovada a Emenda nº 72. Sim: 257; não: 67; abstenção: 2; total: 326.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Liberado"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Não"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Liberado"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Não"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Liberado"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PvPps";"";"Não"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Liberado"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Não"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Liberado"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"GOV.";"";"Liberado"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Liberado"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"554412-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/554412-9";"PLEN";"Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 145; não: 233; abstenção: 6; total: 384.";"Minoria";"";"Não"
