"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"1555334-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1555334-46";"CFT";"Aprovado o Parecer contra os votos dos Deputados Enio Verri, Simone Morgado, Andres Sanchez, Rubens Otoni e Fernando Monteiro.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Não"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Obstrução"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PTN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36848";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"Obstrução"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PEN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36761";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"Liberado"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Não"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Não"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Obstrução"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PMN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36801";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PTC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36846";"Sim"
"484465-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/484465-66";"CCJC";"Aprovado o Parecer, contra os votos dos Deputados Rubens Pereira Júnior e Luiz Couto.";"PHS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36793";"Liberado"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Não"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Obstrução"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PMB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36887";"Não"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Não"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"Não"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Não"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PmdbPen";"";"Não"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"REDE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";"Obstrução"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"Não"
"1526944-129";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1526944-129";"PLEN";"Suprimida expressão. Sim: 8; não: 344; total: 352.";"PrPsdPros";"";"Não"
