"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Não"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"Sim"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Não"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"Não"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Não"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Não"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PmdbPtc";"";"Sim"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Sim"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"485201-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485201-93";"PLEN";"Aprovados os artigos 8º a 18 do Projeto de Lei de Conversão nº 16/10 do Senado Federal. Sim: 183, não: 88, abs: 1; total: 272.";"PsbPcdobPrb";"";"Não"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PmdbPtc";"";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PMN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36801";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PHS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36793";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"GOV.";"";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PsbPcdobPrb";"";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"MINORIA";"";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PTdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36847";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"489682-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/489682-5";"PLEN";"Aprovado o Requerimento. Sim: 279; não: 35; abstenção: 3; total: 317.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
