"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"CIDADANIA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"Governo";"";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"REPUBLICANOS";"";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"REDE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Não"
"2265603-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265603-43";"PLEN";"Rejeitado o Requerimento. Sim: 11; não: 256; total: 267.";"Oposição";"";"Não"
