"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"Minoria";"";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PEN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36761";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"GOV.";"";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PMN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36801";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PrPtdobPrp";"";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PpPros";"";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"Solidaried";"";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"602633-89";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-89";"PLEN";"Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Liberado"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PrPtdobPrp";"";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"Minoria";"";"Liberado"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PMN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36801";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PpPros";"";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"Solidaried";"";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"GOV.";"";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Liberado"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"602633-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/602633-84";"PLEN";"Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Liberado"
"786713-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/786713-26";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 434 de 2014. Sim: 398; total: 398.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
